rxns	rxnNames	index	formulas	growth1	growth2	growth3	growth4	growth5
r_1634	acetate exchange	2419	acetate[e] => 	5.14400626423691	3.97952021163093	2.79492646020914	1.50607646874069	0.0637830968397551
r_1639	adenine exchange	2423	adenine[e] => 	0	0	0	0	0
r_1641	adenosine 3',5'-bismonophosphate exchange	2425	adenosine 3',5'-bismonophosphate[e] => 	0.99829140642839	0.752119938777399	0.505948471130375	0.25977700348327	0.0118813080456448
r_1643	adenosine exchange	2427	adenosine[e] => 	0	0	0	0	0
r_1648	allantoate exchange	2431	allantoate[e] => 	0	0	0	0	0
r_1649	allantoin exchange	2432	allantoin[e] => 	0	0	0	0	0
r_1650	trehalose exchange	2433	trehalose[e] => 	0.943416606161691	0.70989075074206	0.474643705010348	0.237575645437811	0.00950393810376989
r_1651	alpha-D-glucosamine 6-phosphate exchange	2434	alpha-D-glucosamine 6-phosphate[e] => 	1.8031999760141	1.35939181493104	0.91100583191634	0.457654704723444	0.0183079455781619
r_1654	ammonium exchange	2436	ammonium[e] <=> 	0	-0.332918192940724	-0.665836385878947	-0.998754578815351	-1.31835604403864
r_1663	bicarbonate exchange	2442	bicarbonate[e] => 	12	9.92042426181013	7.84084852361873	5.76127278542778	3.76488007675393
r_1671	biotin exchange	2448	biotin[e] => 	0	0	0	0	0
r_1672	carbon dioxide exchange	2449	carbon dioxide[e] => 	12	9.9204242618005	7.84084852360875	5.76127278543824	3.76488007675453
r_1683	choline exchange	2460	choline[e] => 	1.24119408427585	0.940585764850029	0.629006540242379	0.314558568492535	0.0126885156119017
r_1687	citrate exchange	2464	citrate[e] => 	2.00000000000239	1.61487886167527	1.10269322570116	0.562182394271758	0.0230066959314854
r_1702	cytidine exchange	2476	cytidine[e] => 	0	0	0	0	0
r_1705	cytosine exchange	2479	cytosine[e] => 	0	0	0	0	0
r_1706	D-arabinose exchange	2480	D-arabinose[e] => 	0	0	0	0	0
r_1709	D-fructose exchange	2483	D-fructose[e] => 	0	0	0	0	0
r_1710	D-galactose exchange	2484	D-galactose[e] => 	0	0	0	0	0
r_1711	D-galacturonate exchange	2485	D-galacturonate[e] => 	0	0	0	0	0
r_1712	D-glucitol exchange	2486	D-glucitol[e] => 	1	1	0.835642802146507	0.419379297458984	0.0167767823101279
r_1714	D-glucose exchange	2488	D-glucose[e] => 	0	0	0	0	0
r_1715	D-mannose exchange	2489	D-mannose[e] => 	0	0	0	0	0
r_1716	D-ribose exchange	2490	D-ribose[e] => 	0	0	0	0	0
r_1718	D-xylose exchange	2492	D-xylose[e] => 	0	0	0	0	0
r_1727	decanoate exchange	2501	decanoate[e] => 	0.61491818803222	0.472463334889085	0.329363139969701	0.177645483666312	0.00797284450266034
r_1730	deoxycytidine exchange	2504	deoxycytidine[e] => 	0	0	0	0	0
r_1749	dTTP exchange	2520	dTTP[e] => 	0.977023899232597	0.734545916252938	0.491709838171467	0.245907226880016	0.00993672004045245
r_1753	episterol exchange	2524	episterol[e] => 	0.214139582677162	0.162258786451461	0.110377990225624	0.0560658352744388	0.00224284870306697
r_1757	ergosterol exchange	2526	ergosterol[e] => 	0.212227266395985	0.160809777748909	0.109392289099674	0.0555405848988357	0.00222183667108311
r_1761	ethanol exchange	2530	ethanol[e] => 	4	3.17907656535821	2.12066202062302	1.06033313097068	0.0424173968989903
r_1764	ethanolamine exchange	2533	ethanolamine[e] => 	0	0	0	0	0
r_1765	ethyl acetate exchange	2534	ethyl acetate[e] => 	0	0	0	0	0
r_1788	fecosterol exchange	2543	fecosterol[e] => 	0.214139582677194	0.162258786451359	0.110377990225729	0.0560658352743318	0.00224284870314672
r_1791	FMN exchange	2545	FMN[e] => 	0	0	0	0	0
r_1792	folic acid exchange	2546	folate[e] => 	0	0	0	0	0
r_1793	formate exchange	2547	formate[e] => 	7.99999999999955	6.63752563506422	5.2750512701123	3.91257690517138	0.250835796908861
r_1798	fumarate exchange	2552	fumarate[e] => 	3	2.48010606545291	1.66266965121465	0.843273591407286	0.0345100438979428
r_1800	gamma-aminobutyrate exchange	2553	gamma-aminobutyrate[e] => 	0	0	0	0	0
r_1806	glutathione disulfide exchange	2558	glutathione disulfide[e] => 	0	0	0	0	0
r_1807	glutathione exchange	2559	glutathione[e] => 	0	0	0	0	0
r_1808	glycerol exchange	2560	glycerol[e] => 	0	0	0	0	0
r_1810	L-glycine exchange	2562	L-glycine[e] => 	5.99999999999966	4.67305040604587	3.26111022905231	1.7682853032114	0.0749669681380354
r_1814	glycolaldehyde exchange	2566	glycolaldehyde[e] => 	0	0	0	0	0
r_1815	glyoxylate exchange	2567	glyoxylate[e] => 	5.99999999999966	4.87415918181329	3.3511977740269	1.8282363662245	0.0858281343078599
r_1818	guanine exchange	2570	guanine[e] => 	2.32962819159548	1.75453770497085	1.17944721837042	0.600888566284028	0.0251649793738257
r_1820	guanosine exchange	2572	guanosine[e] => 	0	0	0	0	0
r_1832	H+ exchange	2583	H+[e] <=> 	41.0488186180089	32.8798061346288	24.7107936513082	16.4955690141202	7.31371015227364
r_1834	hexadecanal exchange	2585	hexadecanal[e] => 	0	0	0	0	0
r_1841	hypoxanthine exchange	2591	hypoxanthine[e] => 	2.35878415200536	1.77649624414549	1.19420833628992	0.611920428420745	0.0263666751500664
r_1843	indol-3-ylacetaldehyde exchange	2593	indol-3-ylacetaldehyde[e] => 	0.937371917673885	0.709915758678973	0.478690677325719	0.241650811077506	0.00979687437355218
r_1847	inosine exchange	2597	inosine[e] => 	0	0	0	0	0
r_1861	iron(2+) exchange	2611	iron(2+)[e] <=> 	0	-1.57180045334826e-06	-3.14360090669652e-06	-4.71540136004478e-06	-6.22432980890153e-06
r_1862	isoamyl acetate exchange	2612	isoamyl acetate[e] => 	0	0	0	0	0
r_1865	isoamylol exchange	2615	isoamylol[e] => 	1.47901920357129	1.1381592101031	0.784381791879683	0.398832527122226	0.0161632184119056
r_1866	isobutanol exchange	2616	isobutanol[e] => 	1.94416414642544	1.47314060818469	0.983607318571674	0.491804642891864	0.0196740742407144
